Loan_Number,AD_Tool,Appraisal_Dt,Auth_Price,Attached_Ind
100082,DS,6/27/2006 12:00:00 AM,100.125,Y
102,DS,01/04/2007 0:00,101,Y
100083,,,100.125,N
103,DS,,100,Y
100084,DS,10/04/2006 0:00,101.75,N
104,,,100.125,N
105,DS,2/16/2007 12:00:00 AM,98.5,N
100085,DS,10/18/2006 12:00:00 AM,100.625,Y
106,DS,10/20/2006 12:00:00 AM,100.125,N
100086,LP,02/12/2007 0:00,97.375,Y
107,DS,03/12/2007 0:00,101,N
100087,DS,01/04/2007 0:00,96.125,Y
108,DS,12/29/2006 12:00:00 AM,101,Y
100088,DS,10/12/2006 0:00,100.625,N
109,DS,11/20/2006 12:00:00 AM,101.625,Y
100089,DS,03/05/2007 0:00,100.25,Y
110,,,100.125,N
100090,LP,03/02/2007 0:00,100,N
111,,,100.125,N
100091,DS,9/25/2006 12:00:00 AM,100,Y
112,,,100.25,N
100092,DS,10/16/2006 12:00:00 AM,100.375,N
100093,DS,10/13/2006 12:00:00 AM,100.125,Y
113,DS,11/13/2006 12:00:00 AM,101,N
100094,,,100.125,Y
114,DS,10/28/2006 12:00:00 AM,101.5,Y
100095,DS,10/06/2006 0:00,100,N
115,DS,11/30/2006 12:00:00 AM,100.625,N
100096,DS,10/17/2006 12:00:00 AM,99.875,N
116,DS,04/02/2007 0:00,100.375,N
100097,DS,,100,N
117,DS,11/29/2006 12:00:00 AM,100.625,N
118,DS,02/09/2007 0:00,99,N
119,DS,11/29/2006 12:00:00 AM,100.875,N
100098,DS,10/10/2006 0:00,100,N
120,DS,04/12/2007 0:00,100,N
100099,,,100,N
121,DS,12/10/2006 0:00,100.625,N
100100,DS,03/07/2007 0:00,100.125,N
100101,DS,10/31/2006 12:00:00 AM,98.25,N
100102,DS,01/04/2007 0:00,101,Y
100103,DS,,100,Y
122,DS,2/22/2007 12:00:00 AM,101.125,Y
100104,,,100.125,N
123,DS,2/21/2007 12:00:00 AM,100.875,Y
100105,DS,2/16/2007 12:00:00 AM,98.5,N
124,DS,9/15/2006 12:00:00 AM,99.875,N
100106,DS,10/20/2006 12:00:00 AM,100.125,N
125,LP,12/01/2006 0:00,100.625,N
100107,DS,03/12/2007 0:00,101,N
126,DS,1/17/2007 12:00:00 AM,101.25,Y
100108,DS,12/29/2006 12:00:00 AM,101,Y
127,LP,12/12/2006 0:00,99.5,Y
100109,DS,11/20/2006 12:00:00 AM,101.625,Y
128,DS,1/17/2007 12:00:00 AM,100.25,Y
100110,,,100.125,N
129,DS,9/22/2006 12:00:00 AM,100.125,N
100111,,,100.125,N
130,DS,10/13/2005 12:00:00 AM,100,N
131,DS,8/18/2006 12:00:00 AM,100.5,N
100112,,,100.25,N
132,LP,4/26/2006 12:00:00 AM,99.625,N
133,DS,2/28/2006 12:00:00 AM,98.875,N
100113,DS,11/13/2006 12:00:00 AM,101,N
134,DS,3/13/2006 12:00:00 AM,99.25,N
100114,DS,10/28/2006 12:00:00 AM,101.5,Y
135,DS,04/10/2006 0:00,101.25,N
100115,DS,11/30/2006 12:00:00 AM,100.625,N
136,DS,7/13/2006 12:00:00 AM,100.625,N
137,DS,5/29/2006 12:00:00 AM,99.375,N
100116,DS,04/02/2007 0:00,100.375,N
138,DS,4/28/2006 12:00:00 AM,101,N
100117,DS,11/29/2006 12:00:00 AM,100.625,N
139,DS,7/28/2006 12:00:00 AM,100.75,N
100118,DS,02/09/2007 0:00,99,N
140,DS,11/06/2006 0:00,100,Y
100119,DS,11/29/2006 12:00:00 AM,100.875,N
141,LP,05/01/2006 0:00,99.875,N
100120,DS,04/12/2007 0:00,100,N
142,DS,08/04/2006 0:00,99.625,Y
100121,DS,12/10/2006 0:00,100.625,N
100122,DS,2/22/2007 12:00:00 AM,101.125,Y
143,LP,1/17/2007 12:00:00 AM,100.75,Y
100123,DS,2/21/2007 12:00:00 AM,100.875,Y
144,DS,8/27/2006 12:00:00 AM,100.125,Y
100124,DS,9/15/2006 12:00:00 AM,99.875,N
145,LP,02/10/2007 0:00,101.125,N
100125,LP,12/01/2006 0:00,100.625,N
146,LP,6/20/2006 12:00:00 AM,100.125,N
100126,DS,1/17/2007 12:00:00 AM,101.25,Y
147,LP,2/23/2007 12:00:00 AM,100.75,Y
148,DS,06/01/2006 0:00,100,N
100127,LP,12/12/2006 0:00,99.5,Y
149,DS,7/25/2006 12:00:00 AM,100.125,N
100128,DS,1/17/2007 12:00:00 AM,100.25,Y
150,LP,7/31/2006 12:00:00 AM,102,Y
100129,DS,9/22/2006 12:00:00 AM,100.125,N
151,DS,7/20/2006 12:00:00 AM,99.75,Y
100130,DS,10/13/2005 12:00:00 AM,100,N
152,DS,7/21/2006 12:00:00 AM,98.5,Y
100131,DS,8/18/2006 12:00:00 AM,100.5,N
153,DS,7/20/2006 12:00:00 AM,100.875,N
100132,LP,4/26/2006 12:00:00 AM,99.625,N
154,DS,7/27/2006 12:00:00 AM,100.625,N
100133,DS,2/28/2006 12:00:00 AM,98.875,N
155,DS,7/20/2006 12:00:00 AM,100.75,Y
100134,DS,3/13/2006 12:00:00 AM,99.25,N
156,DS,03/09/2007 0:00,99.875,Y
100135,DS,04/10/2006 0:00,101.25,N
157,DS,10/04/2006 0:00,100.625,N
100136,DS,7/13/2006 12:00:00 AM,100.625,N
158,DS,7/24/2006 12:00:00 AM,99.75,N
100137,DS,5/29/2006 12:00:00 AM,99.375,N
159,DS,09/11/2006 0:00,100.5,Y
100138,DS,4/28/2006 12:00:00 AM,101,N
160,DS,,100.375,N
100139,DS,7/28/2006 12:00:00 AM,100.75,N
161,DS,7/31/2006 12:00:00 AM,100.625,N
100140,DS,11/06/2006 0:00,100,Y
100141,LP,05/01/2006 0:00,99.875,N
162,DS,08/03/2006 0:00,99.625,N
163,DS,8/18/2006 12:00:00 AM,100.25,Y
100142,DS,08/04/2006 0:00,99.625,Y
100143,LP,1/17/2007 12:00:00 AM,100.75,Y
164,DS,7/19/2006 12:00:00 AM,100,N
100144,DS,8/27/2006 12:00:00 AM,100.125,Y
165,DS,8/14/2006 12:00:00 AM,100.625,N
100145,LP,02/10/2007 0:00,101.125,N
166,DS,3/22/2007 12:00:00 AM,100.625,Y
100146,LP,6/20/2006 12:00:00 AM,100.125,N
100147,LP,2/23/2007 12:00:00 AM,100.75,Y
167,DS,08/03/2006 0:00,99.375,N
100148,DS,06/01/2006 0:00,100,N
168,,,100.125,N
100149,DS,7/25/2006 12:00:00 AM,100.125,N
169,DS,8/19/2006 12:00:00 AM,100.625,N
100150,LP,7/31/2006 12:00:00 AM,102,Y
100151,DS,7/20/2006 12:00:00 AM,99.75,Y
170,DS,08/02/2006 0:00,100.125,N
100152,DS,7/21/2006 12:00:00 AM,98.5,Y
100153,DS,7/20/2006 12:00:00 AM,100.875,N
171,DS,08/04/2006 0:00,100.5,N
100154,DS,7/27/2006 12:00:00 AM,100.625,N
172,DS,8/15/2006 12:00:00 AM,99.75,Y
100155,DS,7/20/2006 12:00:00 AM,100.75,Y
173,LP,3/16/2007 12:00:00 AM,100.375,N
100156,DS,03/09/2007 0:00,99.875,Y
174,DS,8/16/2006 12:00:00 AM,100.25,N
175,DS,09/08/2006 0:00,98.25,N
100157,DS,10/04/2006 0:00,100.625,N
176,LP,2/23/2007 12:00:00 AM,101.25,N
100158,DS,7/24/2006 12:00:00 AM,99.75,N
177,LP,3/13/2007 12:00:00 AM,100.875,N
100159,DS,09/11/2006 0:00,100.5,Y
178,DS,3/16/2007 12:00:00 AM,101.125,N
100160,DS,,100.375,N
179,DS,8/19/2006 12:00:00 AM,101.25,N
100161,DS,7/31/2006 12:00:00 AM,100.625,N
180,DS,08/09/2006 0:00,100.25,N
100162,DS,08/03/2006 0:00,99.625,N
181,DS,12/06/2006 0:00,100.5,Y
100163,DS,8/18/2006 12:00:00 AM,100.25,Y
182,DS,10/03/2006 0:00,101.375,Y
100164,DS,7/19/2006 12:00:00 AM,100,N
183,DS,8/25/2006 12:00:00 AM,100.5,N
100165,DS,8/14/2006 12:00:00 AM,100.625,N
184,DS,6/26/2006 12:00:00 AM,100.125,N
100166,DS,3/22/2007 12:00:00 AM,100.625,Y
185,DS,8/29/2006 12:00:00 AM,99.875,N
100167,DS,08/03/2006 0:00,99.375,N
100168,,,100.125,N
186,DS,9/29/2006 12:00:00 AM,100,N
100169,DS,8/19/2006 12:00:00 AM,100.625,N
187,DS,09/07/2006 0:00,100,N
100170,DS,08/02/2006 0:00,100.125,N
188,DS,09/12/2006 0:00,100.5,Y
189,DS,9/22/2006 12:00:00 AM,100.375,N
100171,DS,08/04/2006 0:00,100.5,N
190,DS,8/16/2006 12:00:00 AM,100.25,N
100172,DS,8/15/2006 12:00:00 AM,99.75,Y
191,DS,09/05/2006 0:00,100.5,Y
100173,LP,3/16/2007 12:00:00 AM,100.375,N
192,DS,9/21/2006 12:00:00 AM,100.375,N
100174,DS,8/16/2006 12:00:00 AM,100.25,N
193,DS,09/11/2006 0:00,101.125,N
100175,DS,09/08/2006 0:00,98.25,N
194,DS,11/07/2006 0:00,99.875,Y
100176,LP,2/23/2007 12:00:00 AM,101.25,N
195,,,100.125,N
100177,LP,3/13/2007 12:00:00 AM,100.875,N
196,DS,9/19/2006 12:00:00 AM,99.5,N
100178,DS,3/16/2007 12:00:00 AM,101.125,N
197,DS,9/22/2006 12:00:00 AM,99.625,N
100179,DS,8/19/2006 12:00:00 AM,101.25,N
198,DS,9/22/2006 12:00:00 AM,100.375,Y
100180,DS,08/09/2006 0:00,100.25,N
199,DS,2/13/2007 12:00:00 AM,100.125,N
100181,DS,12/06/2006 0:00,100.5,Y
200,,,100,Y
100182,DS,10/03/2006 0:00,101.375,Y
201,DS,2/14/2007 12:00:00 AM,100.125,N
100183,DS,8/25/2006 12:00:00 AM,100.5,N
